,county,office,rep_votes,dem_votes,dem_pct,rep_pct,vote_margin,county_fips,year
90,Indiana,Governor,13462.0,9897.0,42.369108266621005,57.630891733378995,-15.26178346675799,42063,2002
91,Indiana,State House,11706.0,8044.0,40.72911392405063,59.27088607594937,-18.54177215189874,42063,2002
92,Indiana,U.S. House,13089.0,10806.0,45.222849968612685,54.77715003138732,-9.554300062774637,42063,2002
93,Jefferson,Governor,8745.0,3879.0,30.727186311787076,69.27281368821293,-38.545627376425855,42065,2002
94,Jefferson,State House,9500.0,3503.0,26.939936937629778,73.06006306237022,-46.12012612474044,42065,2002
95,Juniata,Governor,5027.0,2187.0,30.316052120876076,69.68394787912393,-39.367895758247855,42067,2002
96,Juniata,State House,4783.0,2585.0,35.084147665580886,64.91585233441911,-29.831704668838228,42067,2002
97,Juniata,U.S. House,5084.0,2237.0,30.555934981559897,69.4440650184401,-38.8881300368802,42067,2002
98,Lackawanna,Governor,26099.0,40206.0,60.63796093808913,39.36203906191086,21.275921876178266,42069,2002
99,Lackawanna,State House,5677.0,48920.0,89.60199278348627,10.398007216513728,79.20398556697253,42069,2002
100,Lackawanna,State Senate,19233.0,45572.0,70.32173443407144,29.67826556592855,40.64346886814289,42069,2002
101,Lackawanna,U.S. House,12410.0,25678.0,67.4175593362739,32.58244066372611,34.835118672547786,42069,2002
102,Lancaster,Governor,83607.0,40791.0,32.790720108040325,67.20927989195967,-34.41855978391934,42071,2002
103,Lancaster,State House,90191.0,22059.0,19.651670378619155,80.34832962138084,-60.69665924276168,42071,2002
104,Lancaster,State Senate,58214.0,2222.0,3.6766165861407107,96.32338341385929,-92.64676682771858,42071,2002
105,Lawrence,Governor,13010.0,14628.0,52.92712931471163,47.07287068528837,5.854258629423256,42073,2002
106,Lawrence,State Senate,5513.0,3020.0,35.39200750029298,64.60799249970702,-29.21598499941404,42073,2002
107,Lawrence,U.S. House,16210.0,11924.0,42.38288192222933,57.61711807777067,-15.234236155541339,42073,2002
108,Lebanon,Governor,22659.0,12712.0,35.93904611122106,64.06095388877895,-28.121907777557894,42075,2002
109,Lebanon,State House,24769.0,9323.0,27.346591575736245,72.65340842426376,-45.30681684852752,42075,2002
110,Lebanon,State Senate,23022.0,11937.0,34.14571355015876,65.85428644984124,-31.70857289968248,42075,2002
111,Lebanon,U.S. House,21733.0,13945.0,39.08571108245978,60.91428891754022,-21.828577835080438,42075,2002
112,Lehigh,Governor,34738.0,48150.0,58.09043528616928,41.90956471383071,16.18087057233857,42077,2002
113,Lehigh,State House,41535.0,36453.0,46.74180643175873,53.25819356824126,-6.516387136482528,42077,2002
114,Lehigh,State Senate,45077.0,32156.0,41.63505237398522,58.36494762601478,-16.729895252029564,42077,2002
115,Lehigh,U.S. House,48001.0,34511.0,41.8254314523948,58.1745685476052,-16.349137095210395,42077,2002
116,Luzerne,Governor,38760.0,45641.0,54.076373502683616,45.923626497316384,8.152747005367232,42079,2002
117,Luzerne,State House,16394.0,50363.0,75.44227571640427,24.55772428359573,50.884551432808536,42079,2002
118,Luzerne,State Senate,18074.0,42760.0,70.2896406614722,29.710359338527798,40.57928132294441,42079,2002
119,Luzerne,U.S. House,30368.0,36930.0,54.87533061903771,45.12466938096228,9.75066123807543,42079,2002
120,Lycoming,Governor,20751.0,9937.0,32.38073514077164,67.61926485922837,-35.238529718456725,42081,2002
121,Mckean,Governor,6373.0,3215.0,33.53149770546516,66.46850229453484,-32.93700458906968,42083,2002
122,Mckean,State House,7498.0,598.0,7.386363636363637,92.61363636363636,-85.22727272727272,42083,2002
123,Mercer,Governor,16429.0,14161.0,46.2929061784897,53.7070938215103,-7.414187643020597,42085,2002
124,Mercer,State House,12556.0,12364.0,49.61476725521669,50.3852327447833,-0.770465489566611,42085,2002
125,Mercer,State Senate,18735.0,13063.0,41.081200075476445,58.918799924523555,-17.83759984904711,42085,2002
126,Mercer,U.S. House,19030.0,2047.0,9.712008350334488,90.28799164966551,-80.57598329933103,42085,2002
127,Mifflin,Governor,7122.0,3362.0,32.06791301030141,67.93208698969859,-35.86417397939718,42087,2002
128,Mifflin,State House,5092.0,2813.0,35.58507273877293,64.41492726122708,-28.82985452245415,42087,2002
129,Mifflin,State Senate,197.0,29.0,12.831858407079647,87.16814159292035,-74.3362831858407,42087,2002
130,Mifflin,U.S. House,7140.0,479.0,6.286914293214332,93.71308570678568,-87.42617141357134,42087,2002
131,Monroe,Governor,15258.0,14570.0,48.84672120155559,51.15327879844441,-2.3065575968888226,42089,2002
132,Monroe,State House,15304.0,8055.0,34.48349672503104,65.51650327496897,-31.03300654993793,42089,2002
133,Monroe,State Senate,10752.0,11927.0,52.590502226729576,47.409497773270424,5.181004453459153,42089,2002
134,Monroe,U.S. House,15092.0,13643.0,47.478684531059685,52.52131546894032,-5.042630937880638,42089,2002
135,Montgomery,Governor,81835.0,175157.0,68.15659631428215,31.843403685717842,36.31319262856431,42091,2002
136,Montgomery,State House,137285.0,87655.0,38.96816928958833,61.03183071041166,-22.06366142082333,42091,2002
137,Montgomery,State Senate,99040.0,75138.0,43.138628299785275,56.861371700214725,-13.72274340042945,42091,2002
138,Montgomery,U.S. House,119695.0,130340.0,52.12870198172256,47.87129801827744,4.257403963445114,42091,2002
139,Montour,Governor,2873.0,1847.0,39.13135593220339,60.86864406779661,-21.737288135593218,42093,2002
140,Montour,State House,2292.0,2549.0,52.65441024581698,47.345589754183024,5.308820491633959,42093,2002
141,Northampton,Governor,28228.0,42554.0,60.11980447006301,39.88019552993699,20.23960894012602,42095,2002
142,Northampton,State House,22175.0,32101.0,59.1440047166335,40.8559952833665,18.288009433267007,42095,2002
143,Northampton,State Senate,29157.0,38393.0,56.836417468541825,43.163582531458175,13.67283493708365,42095,2002
144,Northampton,U.S. House,38883.0,31866.0,45.040919306279946,54.959080693720054,-9.918161387440108,42095,2002
145,Northumberland,Governor,14479.0,10774.0,42.664237912327245,57.33576208767275,-14.671524175345503,42097,2002
146,Northumberland,State House,16472.0,9289.0,36.05838282675362,63.94161717324638,-27.883234346492756,42097,2002
147,Perry,Governor,9286.0,3426.0,26.950912523599747,73.04908747640026,-46.09817495280051,42099,2002
148,Perry,U.S. House,9311.0,3663.0,28.23338985663635,71.76661014336365,-43.5332202867273,42099,2002
149,Philadelphia,Governor,59223.0,339697.0,85.15416624887196,14.845833751128046,70.30833249774392,42101,2002
150,Philadelphia,State House,80231.0,287720.0,78.19519446882873,21.80480553117127,56.39038893765746,42101,2002
151,Philadelphia,State Senate,14549.0,118071.0,89.02955813602776,10.970441863972251,78.0591162720555,42101,2002
152,Philadelphia,U.S. House,78253.0,298673.0,79.23916100242488,20.76083899757512,58.47832200484976,42101,2002
153,Pike,Governor,6482.0,4049.0,38.44839046624252,61.55160953375748,-23.103219067514956,42103,2002
154,Pike,State Senate,6476.0,3907.0,37.62881633439276,62.37118366560724,-24.74236733121448,42103,2002
155,Potter,Governor,3471.0,1357.0,28.106876553438276,71.89312344656173,-43.786246893123455,42105,2002
156,Schuylkill,Governor,22692.0,25233.0,52.6510172143975,47.34898278560251,5.30203442879499,42107,2002
157,Schuylkill,State House,31390.0,17667.0,36.013209124080156,63.98679087591985,-27.973581751839696,42107,2002
158,Schuylkill,U.S. House,13621.0,35707.0,72.38687966266623,27.61312033733377,44.77375932533246,42107,2002
159,Snyder,Governor,6623.0,2599.0,28.182606809802646,71.81739319019735,-43.6347863803947,42109,2002
160,Snyder,State House,7280.0,1545.0,17.507082152974505,82.4929178470255,-64.98583569405099,42109,2002
161,Somerset,Governor,16244.0,8088.0,33.240177543975015,66.75982245602499,-33.519644912049976,42111,2002
162,Somerset,State House,15020.0,10139.0,40.299693946500255,59.700306053499745,-19.40061210699949,42111,2002
163,Somerset,U.S. House,13253.0,11819.0,47.140236119974475,52.859763880025525,-5.719527760051051,42111,2002
164,Sullivan,Governor,1441.0,856.0,37.26599912929909,62.73400087070091,-25.46800174140182,42113,2002
165,Susquehanna,Governor,8175.0,4244.0,34.17344391657943,65.82655608342056,-31.653112166841126,42115,2002
166,Susquehanna,State House,10944.0,356.0,3.1504424778761058,96.8495575221239,-93.69911504424779,42115,2002
167,Susquehanna,State Senate,3766.0,1573.0,29.4624461509646,70.53755384903539,-41.075107698070795,42115,2002
168,Tioga,Governor,7696.0,3275.0,29.851426488013853,70.14857351198614,-40.297147023972286,42117,2002
169,Union,Governor,6058.0,3153.0,34.23081098686353,65.76918901313647,-31.538378026272937,42119,2002
170,Venango,Governor,9188.0,5551.0,37.66198520930863,62.33801479069137,-24.676029581382736,42121,2002
171,Venango,State House,10401.0,4790.0,31.531828056085843,68.46817194391416,-36.936343887828315,42121,2002
172,Warren,Governor,6823.0,4823.0,41.413360810578745,58.58663918942126,-17.173278378842518,42123,2002
173,Warren,State House,5747.0,5146.0,47.24134765445699,52.75865234554301,-5.517304691086025,42123,2002
174,Washington,Governor,28368.0,30368.0,51.70253336965405,48.29746663034595,3.405066739308097,42125,2002
175,Washington,State House,19736.0,34786.0,63.80176809361359,36.19823190638641,27.603536187227178,42125,2002
176,Washington,U.S. House,26674.0,31740.0,54.336289245728764,45.663710754271236,8.672578491457529,42125,2002
177,Wayne,Governor,8118.0,4395.0,35.123471589546874,64.87652841045313,-29.75305682090626,42127,2002
178,Wayne,State House,6478.0,1632.0,20.123304562268803,79.8766954377312,-59.7533908754624,42127,2002
179,Wayne,State Senate,8317.0,3480.0,29.499025175892175,70.50097482410781,-41.00194964821564,42127,2002
180,Westmoreland,Governor,58018.0,48992.0,45.78263713671619,54.2173628632838,-8.434725726567613,42129,2002
